center,bp_year,assessment_id,assessment_upload_days,assessment_upload_date,implementation_upload_days,implementation_upload_date,page,source_url
AM,2023,AM0878,97,05/26/2023,320,01/03/2024,1,https://iac.university/center/AM/internal/activity-log/BP2023
AM,2023,AM0877,44,03/27/2023,229,09/28/2023,1,https://iac.university/center/AM/internal/activity-log/BP2023
AM,2023,AM0876,111,05/26/2023,300,11/30/2023,1,https://iac.university/center/AM/internal/activity-log/BP2023
AM,2023,AM0875,33,03/01/2023,241,09/26/2023,1,https://iac.university/center/AM/internal/activity-log/BP2023
AM,2023,AM0874,42,03/03/2023,284,11/01/2023,1,https://iac.university/center/AM/internal/activity-log/BP2023
AM,2023,AM0873,58,03/27/2023,1102+,,1,https://iac.university/center/AM/internal/activity-log/BP2023
AM,2023,AM0872,61,12/14/2022,1207+,,1,https://iac.university/center/AM/internal/activity-log/BP2023
AM,2023,AM0871,35,12/09/2022,290,08/21/2023,1,https://iac.university/center/AM/internal/activity-log/BP2023
AM,2023,AM0870,124,03/01/2023,374,11/06/2023,1,https://iac.university/center/AM/internal/activity-log/BP2023
AM,2023,AM0867,221,05/30/2023,409,12/04/2023,1,https://iac.university/center/AM/internal/activity-log/BP2023
AM,2023,AM0866,49,12/02/2022,257,06/28/2023,1,https://iac.university/center/AM/internal/activity-log/BP2023
AM,2023,AM0865,39,11/15/2022,229,05/24/2023,1,https://iac.university/center/AM/internal/activity-log/BP2023
AM,2023,AM0864,1221+,,,,1,https://iac.university/center/AM/internal/activity-log/BP2023
AM,2023,AM0863,52,11/14/2022,258,06/08/2023,1,https://iac.university/center/AM/internal/activity-log/BP2023
AM,2023,AM0862,94,12/19/2022,285,06/28/2023,1,https://iac.university/center/AM/internal/activity-log/BP2023
AM,2023,AM0861,41,10/20/2022,221,04/18/2023,1,https://iac.university/center/AM/internal/activity-log/BP2023
AM,2023,AM0860,38,10/10/2022,CnC,05/23/2023,1,https://iac.university/center/AM/internal/activity-log/BP2023
AM,2024,AM0935,131,01/08/2025,521+,,1,https://iac.university/center/AM/internal/activity-log/BP2024
AM,2024,AM0931,72,09/11/2024,581+,,1,https://iac.university/center/AM/internal/activity-log/BP2024
AM,2024,AM0930,181,01/09/2025,570+,,1,https://iac.university/center/AM/internal/activity-log/BP2024
AM,2024,AM0929,538+,,,,1,https://iac.university/center/AM/internal/activity-log/BP2024
AM,2024,AM0928,528+,,,,1,https://iac.university/center/AM/internal/activity-log/BP2024
AM,2024,AM0927,138,10/30/2024,598+,,1,https://iac.university/center/AM/internal/activity-log/BP2024
AM,2024,AM0926,47,07/24/2024,605+,,1,https://iac.university/center/AM/internal/activity-log/BP2024
AM,2024,AM0925,609+,,,,1,https://iac.university/center/AM/internal/activity-log/BP2024
AM,2024,AM0924,668+,,,,1,https://iac.university/center/AM/internal/activity-log/BP2024
AM,2024,AM0923,230,12/31/2024,628+,,1,https://iac.university/center/AM/internal/activity-log/BP2024
AM,2024,AM0922,59,06/16/2024,655+,,1,https://iac.university/center/AM/internal/activity-log/BP2024
AM,2024,AM0921,72,06/16/2024,668+,,1,https://iac.university/center/AM/internal/activity-log/BP2024
AM,2024,AM0920,86,06/16/2024,682+,,1,https://iac.university/center/AM/internal/activity-log/BP2024
AM,2024,AM0919,105,06/15/2024,703+,,1,https://iac.university/center/AM/internal/activity-log/BP2024
AM,2024,AM0918,95,05/22/2024,717+,,1,https://iac.university/center/AM/internal/activity-log/BP2024
AM,2024,AM0917,17,02/12/2024,738+,,1,https://iac.university/center/AM/internal/activity-log/BP2024
AM,2024,AM0916,628+,,,,1,https://iac.university/center/AM/internal/activity-log/BP2024
AM,2024,AM0915,654+,,,,1,https://iac.university/center/AM/internal/activity-log/BP2024
AM,2024,AM0914,35,05/10/2024,650,01/15/2026,1,https://iac.university/center/AM/internal/activity-log/BP2024
AM,2024,AM0913,45,05/06/2024,664,01/15/2026,1,https://iac.university/center/AM/internal/activity-log/BP2024
AM,2024,AM0912,682+,,,,1,https://iac.university/center/AM/internal/activity-log/BP2024
AM,2024,AM0911,27,03/28/2024,704+,,1,https://iac.university/center/AM/internal/activity-log/BP2024
AM,2024,AM0910,128,07/01/2024,710+,,1,https://iac.university/center/AM/internal/activity-log/BP2024
AM,2024,AM0909,111,05/17/2024,738+,,1,https://iac.university/center/AM/internal/activity-log/BP2024
AM,2024,AM0908,59,03/19/2024,558,07/31/2025,1,https://iac.university/center/AM/internal/activity-log/BP2024
AM,2024,AM0907,42,02/23/2024,752+,,1,https://iac.university/center/AM/internal/activity-log/BP2024
AM,2024,AM0906,25,12/26/2023,794+,,1,https://iac.university/center/AM/internal/activity-log/BP2024
AM,2024,AM0902,35,12/22/2023,808+,,1,https://iac.university/center/AM/internal/activity-log/BP2024
AM,2024,AM0901,61,12/27/2023,829+,,1,https://iac.university/center/AM/internal/activity-log/BP2024
AM,2024,AM0900,118,02/22/2024,829+,,1,https://iac.university/center/AM/internal/activity-log/BP2024
AM,2024,AM0899,31,11/13/2023,843+,,1,https://iac.university/center/AM/internal/activity-log/BP2024
AM,2024,AM0898,836+,,,,1,https://iac.university/center/AM/internal/activity-log/BP2024
AM,2024,AM0897,46,11/27/2023,830,01/19/2026,1,https://iac.university/center/AM/internal/activity-log/BP2024
AM,2024,AM0896,19,10/18/2023,857+,,1,https://iac.university/center/AM/internal/activity-log/BP2024
AM,2024,AM0895,47,10/25/2023,878+,,1,https://iac.university/center/AM/internal/activity-log/BP2024
AM,2024,AM0894,38,11/13/2023,850+,,1,https://iac.university/center/AM/internal/activity-log/BP2024
AM,2024,AM0893,34,11/02/2023,857+,,1,https://iac.university/center/AM/internal/activity-log/BP2024
AM,2024,AM0892,131,01/31/2024,864+,,1,https://iac.university/center/AM/internal/activity-log/BP2024
AM,2024,AM0891,31,10/09/2023,221,04/16/2024,1,https://iac.university/center/AM/internal/activity-log/BP2024
AM,2025,AM0964,29,07/25/2025,221+,,1,https://iac.university/center/AM/internal/activity-log/BP2025
AM,2025,AM0962,27,08/14/2025,199+,,1,https://iac.university/center/AM/internal/activity-log/BP2025
AM,2025,AM0960,216,01/29/2026,,,1,https://iac.university/center/AM/internal/activity-log/BP2025
AM,2025,AM0959,45,08/04/2025,227+,,1,https://iac.university/center/AM/internal/activity-log/BP2025
AM,2025,AM0958,210,01/09/2026,,,1,https://iac.university/center/AM/internal/activity-log/BP2025
AM,2025,AM0957,37,08/01/2025,222+,,1,https://iac.university/center/AM/internal/activity-log/BP2025
AM,2025,AM0955,62,06/15/2025,294+,,1,https://iac.university/center/AM/internal/activity-log/BP2025
AM,2025,AM0954,105,06/14/2025,339+,,1,https://iac.university/center/AM/internal/activity-log/BP2025
AM,2025,AM0953,119,06/14/2025,353+,,1,https://iac.university/center/AM/internal/activity-log/BP2025
AM,2025,AM0952,133,06/14/2025,367+,,1,https://iac.university/center/AM/internal/activity-log/BP2025
AM,2025,AM0951,46,01/21/2025,423+,,1,https://iac.university/center/AM/internal/activity-log/BP2025
AM,2025,AM0949,124,08/06/2025,304+,,1,https://iac.university/center/AM/internal/activity-log/BP2025
AM,2025,AM0947,111,07/10/2025,318+,,1,https://iac.university/center/AM/internal/activity-log/BP2025
AM,2025,AM0946,131,07/03/2025,181,08/22/2025,1,https://iac.university/center/AM/internal/activity-log/BP2025
AM,2025,AM0945,136,07/01/2025,335,01/15/2026,1,https://iac.university/center/AM/internal/activity-log/BP2025
AM,2025,AM0944,360+,,,,1,https://iac.university/center/AM/internal/activity-log/BP2025
AM,2025,AM0943,60,03/26/2025,374+,,1,https://iac.university/center/AM/internal/activity-log/BP2025
AM,2025,AM0942,212,09/29/2025,,,1,https://iac.university/center/AM/internal/activity-log/BP2025
AM,2025,AM0940,90,01/16/2025,454,01/15/2026,1,https://iac.university/center/AM/internal/activity-log/BP2025
AM,2025,AM0939,56,01/01/2025,453+,,1,https://iac.university/center/AM/internal/activity-log/BP2025
AM,2025,AM0938,86,12/22/2024,475,01/15/2026,1,https://iac.university/center/AM/internal/activity-log/BP2025
AM,2025,AM0937,166,02/26/2025,507+,,1,https://iac.university/center/AM/internal/activity-log/BP2025
